,id,year,doy,longitude,latitude,grid10k,covertype,fuelcode,area_burned,prefire_fuel,consumed_fuel,ECO2,ECO,ECH4,EPM2.5,cwd_frac,duff_frac,fuel_moisture_class,burn_source,burnday_source,BSEV,BSEV_flag
5409205,281509,2005,205,-120.2158,45.78,115299,1,1,62500.0,159.72255,148.541972,249.104886,10.397938,0.398092,1.515128,0.0,0.0,2,1,15,2,0
5409206,281510,2005,205,-120.2127,45.7806,115299,2,2,62500.0,361.253178,325.12786,545.239422,22.75895,0.871343,3.316304,0.0,0.0,2,1,15,2,0
5409207,281511,2005,205,-120.2096,45.7812,115299,1,1,0.0,128.786814,119.77173700000002,200.857203,8.384022,0.320988,1.221672,0.0,0.0,2,1,15,1,0
5409208,281512,2005,205,-120.2065,45.7817,115299,1,1,62500.0,123.2946,114.663978,192.291491,8.026478,0.307299,1.169573,0.0,0.0,2,1,15,2,0
5409209,281513,2005,205,-120.2034,45.7823,115299,1,1,62500.0,112.422258,104.5527,175.334878,7.318689,0.28020100000000003,1.066438,0.0,0.0,2,1,15,2,0
5409240,281544,2005,205,-120.2166,45.7822,115299,1,1,62500.0,150.41941200000005,139.890053,234.595619,9.792304,0.374905,1.426879,0.0,0.0,2,1,15,2,0
5409241,281545,2005,205,-120.2135,45.7828,115299,2,2,0.0,361.589436,325.430492,545.746936,22.780134,0.8721540000000001,3.3193910000000004,0.0,0.0,2,1,15,1,0
5409242,281546,2005,205,-120.2104,45.7833,115299,1,1,62500.0,145.59971399999995,135.407734,227.07877,9.478541,0.362893,1.381159,0.0,0.0,2,1,15,2,0
5409243,281547,2005,205,-120.2073,45.7839,115299,1,1,0.0,122.846256,114.247018,191.592249,7.9972910000000015,0.306182,1.16532,0.0,0.0,2,1,15,1,0
5409244,281548,2005,205,-120.2042,45.7845,115299,2,2,62500.0,330.5416140000001,297.487453,498.886458,20.824122,0.797266,3.0343720000000003,0.0,0.0,2,1,15,2,0
5409245,281549,2005,205,-120.2011,45.785,115299,2,2,62500.0,108.38716200000002,97.548446,163.588744,6.828391000000001,0.26143,0.994994,0.0,0.0,2,1,15,2,0
5409284,281588,2005,205,-120.2361,45.781000000000006,115299,1,1,62500.0,158.60169,147.499572,247.356782,10.32497,0.395299,1.5044959999999998,0.0,0.0,2,1,81,2,0
5409285,281589,2005,205,-120.2206,45.7838,115299,1,1,62500.0,165.88728,154.27517,258.719461,10.799262,0.413457,1.573607,0.0,0.0,2,1,15,2,0
5409286,281590,2005,205,-120.2175,45.7844,115299,1,1,62500.0,159.83463600000005,148.64621100000005,249.27969700000003,10.405235,0.398372,1.516191,0.0,0.0,2,1,15,2,0
5409287,281591,2005,205,-120.2143,45.785,115299,1,1,62500.0,152.549046,141.870613,237.917018,9.930943,0.380213,1.44708,0.0,0.0,2,1,15,2,0
5409288,281592,2005,205,-120.2112,45.7855,115299,1,1,62500.0,124.863804,116.123338,194.738837,8.128634,0.311211,1.184458,0.0,0.0,2,1,15,2,0
